"","Informant_ID","informant_pid_1_1","informant_pid_2_1","informant_pid_3_1","informant_pid_4_1","informant_pid_5_1","informant_pid_6_1","informant_pid_7_1","informant_pid_8_1","informant_pid_9_1","informant_pid_10_1","informant_pid_11_1","informant_pid_12_1","informant_pid_13_1","informant_pid_14_1","informant_pid_15_1","informant_pid_16_1","informant_pid_17_1","informant_pid_18_1","informant_pid_19_1","informant_pid_20_1","informant_pid_21_1","informant_pid_22_1","informant_pid_23_1","informant_pid_24_1","informant_pid_25_1"
"1","10110","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False"
"2","20107","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False"
"3","10141","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very True or Often True","Sometimes or Somewhat True","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True"
"4","40141","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"5","10108","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False"
"6","30141","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False"
"7","30117","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False"
"8","10122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10112","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False"
"10","20152","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False"
